Namespace(batch_size=256, dataset='bipalindrome', device='cuda:0', gpu_mem_frac=0.5, input_dim=1, input_length=10, learning_rate=0.0001, log_device_placement=False, max_norm=10.0, model_type='LSTM', num_classes=1, num_hidden=256, summary_path='./summaries/', train_steps=3000)
cuda:0
Load binary palindrome dataset ...
input length: 10
input length: 41
Initializing LSTM model ...
seq length: 41
input dim: 1
hidden dim: 256
num classes: 2
batch_size: 256
device: cuda:0


[2020-11-20 01:12] Train Step 0000/3000, Batch Size = 256,                    Examples/Sec = 505.27, Accuracy = 0.40, Loss = 0.707
[2020-11-20 01:17] Train Step 2400/3000, Batch Size = 256,                    Examples/Sec = 2312.00, Accuracy = 0.67, Loss = 0.609
[2020-11-20 01:17] Train Step 2460/3000, Batch Size = 256,                    Examples/Sec = 2313.77, Accuracy = 0.69, Loss = 0.595
[2020-11-20 01:17] Train Step 2520/3000, Batch Size = 256,                    Examples/Sec = 2893.38, Accuracy = 0.68, Loss = 0.591
[2020-11-20 01:17] Train Step 2580/3000, Batch Size = 256,                    Examples/Sec = 2226.56, Accuracy = 0.70, Loss = 0.566
[2020-11-20 01:17] Train Step 2640/3000, Batch Size = 256,                    Examples/Sec = 2920.92, Accuracy = 0.71, Loss = 0.595
[2020-11-20 01:17] Train Step 2700/3000, Batch Size = 256,                    Examples/Sec = 2962.72, Accuracy = 0.68, Loss = 0.619
[2020-11-20 01:17] Train Step 2760/3000, Batch Size = 256,                    Examples/Sec = 2291.68, Accuracy = 0.66, Loss = 0.598
[2020-11-20 01:17] Train Step 2820/3000, Batch Size = 256,                    Examples/Sec = 2279.14, Accuracy = 0.65, Loss = 0.632
[2020-11-20 01:17] Train Step 2880/3000, Batch Size = 256,                    Examples/Sec = 3048.81, Accuracy = 0.71, Loss = 0.599
[2020-11-20 01:18] Train Step 2940/3000, Batch Size = 256,                    Examples/Sec = 2329.96, Accuracy = 0.66, Loss = 0.620
[2020-11-20 01:18] Train Step 3000/3000, Batch Size = 256,                    Examples/Sec = 3014.61, Accuracy = 0.70, Loss = 0.595
Done training.
