Namespace(batch_size=256, dataset='bipalindrome', device='cuda:0', gpu_mem_frac=0.5, input_dim=1, input_length=10, learning_rate=0.0001, log_device_placement=False, max_norm=10.0, model_type='LSTM', num_classes=1, num_hidden=256, summary_path='./summaries/', train_steps=3000)
cuda:0
Load binary palindrome dataset ...
input length: 10
input length: 41
Initializing LSTM model ...
seq length: 41
input dim: 1
hidden dim: 256
num classes: 2
batch_size: 256
device: cuda:0


[2020-11-20 01:19] Train Step 0000/3000, Batch Size = 256,                    Examples/Sec = 514.13, Accuracy = 0.45, Loss = 0.696
[2020-11-20 01:21] Train Step 1200/3000, Batch Size = 256,                    Examples/Sec = 2272.67, Accuracy = 0.64, Loss = 0.606
[2020-11-20 01:21] Train Step 1260/3000, Batch Size = 256,                    Examples/Sec = 2281.31, Accuracy = 1.00, Loss = 0.072
[2020-11-20 01:21] Train Step 1320/3000, Batch Size = 256,                    Examples/Sec = 2941.76, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:21] Train Step 1380/3000, Batch Size = 256,                    Examples/Sec = 2197.02, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:21] Train Step 1440/3000, Batch Size = 256,                    Examples/Sec = 3047.54, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:21] Train Step 1500/3000, Batch Size = 256,                    Examples/Sec = 2245.60, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:22] Train Step 1560/3000, Batch Size = 256,                    Examples/Sec = 2341.66, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:22] Train Step 1620/3000, Batch Size = 256,                    Examples/Sec = 2933.69, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:22] Train Step 1680/3000, Batch Size = 256,                    Examples/Sec = 3030.00, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:22] Train Step 1740/3000, Batch Size = 256,                    Examples/Sec = 2986.75, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:22] Train Step 1800/3000, Batch Size = 256,                    Examples/Sec = 2966.67, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:22] Train Step 1860/3000, Batch Size = 256,                    Examples/Sec = 2341.68, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:22] Train Step 1920/3000, Batch Size = 256,                    Examples/Sec = 2344.32, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:22] Train Step 1980/3000, Batch Size = 256,                    Examples/Sec = 2966.92, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:22] Train Step 2040/3000, Batch Size = 256,                    Examples/Sec = 3058.09, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:22] Train Step 2100/3000, Batch Size = 256,                    Examples/Sec = 3080.15, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:23] Train Step 2160/3000, Batch Size = 256,                    Examples/Sec = 2290.22, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:23] Train Step 2220/3000, Batch Size = 256,                    Examples/Sec = 3297.55, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:23] Train Step 2280/3000, Batch Size = 256,                    Examples/Sec = 3154.07, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:23] Train Step 2340/3000, Batch Size = 256,                    Examples/Sec = 2283.24, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:23] Train Step 2400/3000, Batch Size = 256,                    Examples/Sec = 2260.70, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:23] Train Step 2460/3000, Batch Size = 256,                    Examples/Sec = 2335.56, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:23] Train Step 2520/3000, Batch Size = 256,                    Examples/Sec = 2321.96, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:23] Train Step 2580/3000, Batch Size = 256,                    Examples/Sec = 2215.68, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:23] Train Step 2640/3000, Batch Size = 256,                    Examples/Sec = 3005.26, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:23] Train Step 2700/3000, Batch Size = 256,                    Examples/Sec = 2385.67, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:24] Train Step 2760/3000, Batch Size = 256,                    Examples/Sec = 2998.94, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:24] Train Step 2820/3000, Batch Size = 256,                    Examples/Sec = 2174.50, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:24] Train Step 2880/3000, Batch Size = 256,                    Examples/Sec = 2383.70, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:24] Train Step 2940/3000, Batch Size = 256,                    Examples/Sec = 2995.42, Accuracy = 1.00, Loss = 0.000
[2020-11-20 01:24] Train Step 3000/3000, Batch Size = 256,                    Examples/Sec = 2251.08, Accuracy = 1.00, Loss = 0.000
Done training.
